#Trial: 2  (x[g], y[g], z[g], 3D A_Vec, samples) 
0.10081, 0.08576, 1.0449, 1.05324899416, 212.0
0.18627, -0.20693, 1.30398, 1.33337180794, 213.0
-0.08834, -0.47814, 1.21436, 1.30808716254, 214.0
-0.08779, -0.33618, 1.14157, 1.19327538372, 215.0
-0.10576, -0.02773, 0.8955, 0.902149865876, 216.0
-0.01318, 0.14425, 1.02652, 1.03668948355, 217.0
0.00768, 0.26091, 0.92919, 0.965156498502, 218.0
-0.10539, 0.17747, 1.02268, 1.04330102818, 219.0
-0.01219, -0.19001, 1.01802, 1.03567230174, 220.0
0.04474, -0.46248, 1.29853, 1.37915538606, 221.0
-0.00557, -0.02178, 1.0166, 1.01684854, 222.0
-0.08686, 0.28402, 0.88936, 0.937642378308, 223.0
0.00496, 0.20582, 0.91616, 0.939007784632, 224.0
0.05916, 0.17198, 0.99024, 1.00680300139, 225.0
0.09848, 0.17055, 0.9467, 0.966967684517, 226.0
-0.04042, -0.10997, 0.98969, 0.996600959963, 227.0
-0.0885, -0.46346, 1.06851, 1.16805010239, 228.0
-0.11039, -0.14116, 0.89701, 0.914734408339, 229.0
0.0729, 0.16481, 1.28851, 1.30105140798, 230.0
0.05659, 0.28407, 0.92542, 0.969690862801, 231.0
-0.0115, 0.24865, 0.86453, 0.899650595176, 232.0
-0.07857, 0.10607, 1.14282, 1.15041802933, 233.0
-0.12949, -0.19106, 1.24412, 1.2653482359, 234.0
-0.13635, -0.35036, 1.19014, 1.24810923869, 235.0
0.04819, -0.14397, 0.91023, 0.922804578391, 236.0
0.07612, 0.08267, 1.0875, 1.09329082741, 237.0
-0.0238, 0.24732, 0.90227, 0.935855103795, 238.0
